gene	p	fdr
LPCAT3	1	1
PAMR1	1	1
DNAH11	1	1
LDHA	0.0343165496051453	0.12659985459147
GOLIM4	1	1
PPP1R15A	1	1
PITPNA	1	1
PTK7	1	1
FOXN2	1	1
KRT85	1	1
SIPA1L3	2.04780174343723e-07	1.73204788179945e-05
TONSL	1	1
KIAA1549	0.00566010848929388	0.0415751598602579
EPHB2	1	1
MORC1	1	1
BRPF1	0.000369235834502369	0.00531334866692889
ZNF439	1	1
ECEL1	1	1
KCNH3	1	1
TBCE	0.0340368530977694	0.126274194882174
PHF19	0.0455065835188283	0.144121186592702
RASA1	1	1
RCSD1	1	1
CISD2	1	1
PSEN2	1	1
RBM26	0.0422058227308158	0.140074540900558
GPR65	1	1
MAPK1	1	1
ZUFSP	1	1
FGF10	1	1
SLC5A9	1	1
MLLT10	3.58510804205801e-08	4.01901992810075e-06
THAP10	1	1
ABCB11	1	1
CXCR4	1	1
GAK	7.91849590153843e-05	0.0017043609806822
RPE65	0.0492738591315926	0.148875563686363
METTL18	1	1
ANKRD26	0.0406654481831848	0.137712648186882
MPP7	0.000101917906630828	0.00208033299300641
KRT84	1	1
REEP2	1	1
NUP205	0.0315533741866345	0.121560565976941
WWOX	1	1
PTPN2	1	1
SPRED2	1	1
PLXNC1	1	1
FRMD5	1	1
TNNI2	1	1
ACACA	3.62905634452016e-08	4.03625361152341e-06
OR4C46	1	1
GABRB1	0.000808145313739686	0.00947307266105648
B4GALNT4	1	1
HIST1H3B	1	1
DNAJC14	1	1
ANKIB1	2.17149584909754e-05	0.000640341938799641
ARHGAP39	0.00111992609885173	0.0120235147251908
KSR2	0.029867910712223	0.118610336099469
ATP12A	1	1
KLHL7	1	1
HBZ	1	1
SPAG16	1	1
PGAM2	1	1
LMBRD1	0.0393543551855994	0.135457306452372
SPINT2	1	1
CENPJ	0.011937285378258	0.071466875363687
BMP8B	0.00568350444243812	0.0417036364932148
XKR7	1	1
IFI6	1	1
DACT3	0.0441950854216868	0.142589214614282
RABGAP1	0.00112020852236113	0.0120235147251908
POLR3B	0.00012640683651527	0.00247641687347876
CCDC88A	0.0289862851798677	0.116846825960511
SARAF	1	1
EIF5A	0.0442655636607629	0.142653681658288
MARK1	1	1
EXOC7	1	1
ZNF362	0.0412564821412255	0.138650442599289
MYB	1	1
HPDL	1	1
LSM11	0.0445957196499673	0.143116822749203
QSOX1	1	1
GRAMD1A	1	1
TRMT12	1	1
EXPH5	3.39478207346456e-05	0.000904741448824281
ZNF544	1	1
DNAJC16	1	1
ALG10	1	1
TFPT	1	1
VPS51	1	1
HEXA	1	1
KLRG1	1	1
SYNPO2	0.000316895777992271	0.00472666617121524
NOM1	1	1
CRACR2A	1	1
PPP1R26	1	1
IL22RA1	1	1
LIMK1	0.000123263946661671	0.00242493488383858
MAGEC3	1	1
SHE	1	1
CYP4F22	1	1
ARHGAP25	0.0437380393128402	0.141990302296913
HIPK1	0.000284236716555388	0.00442650895407371
CDK11B	0.0156108751213451	0.084516523989651
PLXNB2	3.16054400703266e-07	2.46644663532245e-05
PRR14L	1.36671389255956e-08	1.82121072947205e-06
DLL1	1	1
VPS13A	0.0184184580421891	0.0921249007952976
MATN2	1	1
SULF2	1	1
GLCCI1	4.43374049567898e-05	0.00110784636419961
CERS5	1	1
RMDN3	0.00702450282092019	0.0490222837675384
SCAF4	1	1
TNC	1	1
ACTL8	0.0491545060608457	0.148685473480029
INMT	1	1
FSD1	1	1
KLRC1	1	1
DOCK4	0.0238389877865782	0.106049947407224
NXPE4	0.0129265423004731	0.0751223478377331
TTC3	1	1
TDP2	0.0386155974612608	0.13404898356852
ERAP1	1	1
RNF113B	1	1
MAP3K6	1	1
ARL5B	1	1
ZNF273	0.0294263713569362	0.117804923601104
CCT6A	1	1
SPSB3	1	1
PLPP7	1	1
TACC3	0.0174798310589551	0.0893129105356918
SIGLEC8	1	1
SEC24B	0.0067243830838693	0.0474435120178092
ZNF292	0.0483645244342533	0.147867728925071
ZIM3	1	1
NOTCH3	7.88323468674427e-06	0.00029614545199538
NSL1	1	1
STAB1	1	1
ZNF728	1	1
NSFL1C	1	1
ZNF559	1	1
MET	2.34566373536558e-11	6.02409095673432e-09
CDCP1	1	1
BRD8	1	1
NWD1	1	1
LRPPRC	3.61063221279037e-06	0.000160883848598309
FIGNL1	1	1
DFNB31	0.00833213638303533	0.0555934938168984
LILRB5	1	1
MFSD1	0.0162246017381917	0.086148611254813
SBSPON	1	1
TNK2	0.000344275489202886	0.00503926558030132
LRBA	3.14265276495254e-06	0.000146019639161035
AHCYL2	0.000506024971324994	0.00667634211724228
RASA3	1	1
ATXN10	0.0421369253427998	0.139911629164797
THNSL1	1	1
GPC1	1	1
MSRA	1	1
SFSWAP	0.0440136800302399	0.142231349903258
CDKN2A	1	1
SERINC1	1	1
TMEM246	1	1
VSX2	1	1
GPA33	1	1
SLC4A10	0.00839838506825106	0.0559826281684975
WDR20	1	1
NLRP10	1	1
CCDC178	1	1
RIF1	5.88617941982948e-08	6.15868772630307e-06
CBX6	1	1
JAKMIP3	1	1
NKX2-5	1	1
WIPF1	0.0336705285097521	0.125698387847182
